,county_name,latitude,longitude,flag
558,Rushcutters Bay,-33.8750365,151.2276557,1
559,Russell Lea,-33.8585361,151.1416007,1
560,Rydalmere,-33.8117088,151.0411702,1
561,Ryde,-33.8125405,151.1115717,1
562,Sackville,-33.4971446,150.8829012,1
563,Sackville North,-33.4816597,150.8844376,1
564,Sadleir,-33.9169444,150.8902778,1
565,Sandringham,-33.9971236,151.1400138,1
566,Sandy Point,-33.975407,150.9939195,1
567,Sans Souci,-33.9926292,151.1337972,1
568,Scheyville,-33.6017926,150.8928527,1
569,Schofields,-33.6971603,150.8711915,1
570,Scotland Island,-33.6397464,151.2911746,1
571,Seaforth,-33.7910792,151.2430284,1
572,Sefton,-33.8873088,151.0106256,1
573,Seven Hills,-33.7760305,150.9427044,1
574,Shalvey,-33.7277778,150.8066667,1
575,Shanes Park,-33.7075,150.7916667,1
576,Silverwater,-33.834881,151.0471218,1
577,Singletons Mill,-33.4648101,151.0738545,1
578,Smeaton Grange,-34.0340877,150.7553777,1
579,Smithfield,-33.8478215,150.9408736,1
580,South Coogee,-33.9322056,151.2539567,1
581,South Granville,-33.8577778,151.0105556,1
582,South Hurstville,-33.9777213,151.1060554,1
583,South Maroota,-33.5127778,150.9522222,1
584,South Penrith,-33.772521,150.6982616,1
585,South Turramurra,-33.7510951,151.1084667,1
586,South Wentworthville,-33.82134,150.9687481,1
587,South Windsor,-33.6302778,150.8041667,1
588,Spring Farm,-34.0694444,150.7272284,1
589,St Andrews,-34.0208333,150.8305556,1
590,St Clair,-33.7983333,150.7844444,1
591,St Helens Park,-34.1066667,150.8094444,1
592,St Ives,-33.7258869,151.1727212,1
593,St Ives Chase,-33.7030556,151.1652778,1
