,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
2003,Dundas,-33.802949,151.0440587,Bus Stop 2117174,-33.80226158435705,151.04149239963502,Bus Station
2004,Dundas,-33.802949,151.0440587,The Ponds Creek,-33.799774,151.043888,Garden
2005,Dundas,-33.802949,151.0440587,Dundas Sports Club,-33.80387,151.03971,Sports Bar
2006,Dundas Valley,-33.7936744,151.05590690000002,Vikings Sports Club,-33.7944471547198,151.05271144449588,Pub
2007,Dundas Valley,-33.7936744,151.05590690000002,Philip Ruddock Water Playground,-33.793835,151.054474,Bathing Area
2008,Dundas Valley,-33.7936744,151.05590690000002,Dundas Valley Soccer Club,-33.794899,151.055313,Sports Club
2009,Dundas Valley,-33.7936744,151.05590690000002,Container Cafe,-33.794112,151.055779,Café
2010,Dural,-33.6876398,151.0267199,Biviano's,-33.683432,151.026244,Italian Restaurant
2011,Dural,-33.6876398,151.0267199,Hargraves Nursery,-33.68414644568564,151.02755761916762,Garden
2012,Dural,-33.6876398,151.0267199,Dural Squash,-33.68423,151.02902,Gym / Fitness Center
2013,Dural,-33.6876398,151.0267199,Dural Memorial Hall,-33.689165163773986,151.03162251106508,Concert Hall
2014,Eagle Vale,-34.0377778,150.8111111,SpotOn Roofing,-34.03784534684491,150.8109998703003,Business Service
2015,Earlwood,-33.9247222,151.1313889,Domino's Pizza,-33.92657,151.12869,Pizza Place
2016,Earlwood,-33.9247222,151.1313889,Oporto,-33.92648,151.12804,Fast Food Restaurant
2017,Earlwood,-33.9247222,151.1313889,Salvatore's Bakehouse Café,-33.92637,151.12982,Café
2018,Earlwood,-33.9247222,151.1313889,Bus Stop 220650,-33.92131769013231,151.12999123098692,Bus Stop
2019,Earlwood,-33.9247222,151.1313889,Trianon Continental Cakes,-33.92633,151.1273,Cupcake Shop
2020,East Gordon,-33.7553899,151.15180990000002,Bakerie,-33.75493,151.15278,Bakery
2021,East Gordon,-33.7553899,151.15180990000002,Pottery Green Bakers,-33.756239836977784,151.15390964973722,Bakery
2022,East Gordon,-33.7553899,151.15180990000002,Pure Brew Co.,-33.756132463812385,151.1539399014224,Coffee Shop
2023,East Gordon,-33.7553899,151.15180990000002,Chalkboard Cafe Gordon,-33.756354,151.153609,Coffee Shop
2024,East Gordon,-33.7553899,151.15180990000002,Season Thai,-33.75585,151.15255,Thai Restaurant
2025,East Gordon,-33.7553899,151.15180990000002,Little Gem Cafe,-33.755818657543536,151.15227028412625,Café
2026,East Gordon,-33.7553899,151.15180990000002,Woolworths,-33.75520880009136,151.15166698545502,Supermarket
2027,East Gordon,-33.7553899,151.15180990000002,Gordon Station,-33.755905231148894,151.15436422704747,Train Station
2028,East Gordon,-33.7553899,151.15180990000002,Domino's Pizza,-33.756306680303204,151.15373252866053,Pizza Place
2029,East Gordon,-33.7553899,151.15180990000002,Subway,-33.755799941917346,151.15280912752795,Sandwich Place
2030,East Gordon,-33.7553899,151.15180990000002,McDonald's,-33.75533105830945,151.15278990439734,Fast Food Restaurant
2031,East Gordon,-33.7553899,151.15180990000002,Acacia Modern Japanese Dining,-33.75577,151.15332,Japanese Restaurant
2032,East Gordon,-33.7553899,151.15180990000002,Gordon Thai,-33.75549906844418,151.1526497990267,Thai Restaurant
2033,East Gordon,-33.7553899,151.15180990000002,Sushi Maru,-33.75507315518761,151.15240163364018,Japanese Restaurant
2034,East Gordon,-33.7553899,151.15180990000002,Sushi Village,-33.755072,151.152497,Sushi Restaurant
2035,East Gordon,-33.7553899,151.15180990000002,Pizza Hut,-33.7562,151.15262,Pizza Place
2036,East Gordon,-33.7553899,151.15180990000002,Plus Fitness Gordon,-33.75328937880336,151.15101120650885,Gym
2037,East Gordon,-33.7553899,151.15180990000002,Platforms 2 & 3,-33.75609599065894,151.15450246809678,Platform
2038,East Gordon,-33.7553899,151.15180990000002,Pecorino,-33.75579,151.15522,Café
